City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Sorland,NO,2020-12-16 04:48:02,67.67,12.69,33.8,86,75,6.93
281,Carnarvon,AU,2020-12-16 04:48:02,-24.87,113.63,80.6,65,0,23.04
282,Bocana De Paiwas,NI,2020-12-16 04:48:02,12.79,-85.12,70.16,93,20,4.45
283,East London,ZA,2020-12-16 04:48:03,-33.02,27.91,64.4,82,0,10.29
284,Kavaratti,IN,2020-12-16 04:48:03,10.57,72.64,84.2,70,20,3.36
285,Mayo,US,2020-12-16 04:48:03,38.89,-76.51,37.4,51,1,5.82
286,Malangas,PH,2020-12-16 04:48:03,7.63,123.03,88.7,58,99,4.27
287,Shelburne,CA,2020-12-16 04:46:46,44.08,-80.2,16.0,89,100,8.81
288,Sofiyivka,UA,2020-12-16 04:48:04,48.05,33.87,33.8,80,90,11.18
289,Pedernales,DO,2020-12-16 04:48:04,18.04,-71.74,75.7,71,4,5.28
290,Tevaitoa,PF,2020-12-16 04:48:05,-16.78,-151.5,81.48,74,63,19.98
291,Zhoukou,CN,2020-12-16 04:48:05,33.63,114.63,42.94,50,51,2.3
292,Mahebourg,MU,2020-12-16 04:46:13,-20.41,57.7,80.6,83,40,16.11
293,Hasaki,JP,2020-12-16 04:48:05,35.73,140.83,50.0,26,20,4.7
294,Sao Joao Da Barra,BR,2020-12-16 04:47:59,-21.64,-41.05,74.77,87,100,13.8
295,Grand Gaube,MU,2020-12-16 04:48:06,-20.01,57.66,82.0,79,4,8.01
296,Sabang,ID,2020-12-16 04:48:06,5.89,95.32,81.25,73,86,2.64
297,Kidal,ML,2020-12-16 04:48:06,18.44,1.41,69.89,23,0,7.81
298,Aklavik,CA,2020-12-16 04:48:06,68.22,-135.01,-16.6,75,100,3.36
299,Akyab,MM,2020-12-16 04:48:07,20.15,92.9,82.27,42,5,3.02
300,Sambava,MG,2020-12-16 04:48:07,-14.27,50.17,81.52,60,61,5.7
301,Poum,NC,2020-12-16 04:48:07,-20.23,164.02,79.14,74,46,8.61
302,Strezhevoy,RU,2020-12-16 04:48:07,60.73,77.59,-7.6,83,90,11.18
303,Teya,RU,2020-12-16 04:48:08,60.38,92.63,-16.89,85,93,3.29
304,Nhulunbuy,AU,2020-12-16 04:48:08,-12.23,136.77,80.6,78,75,9.17
